timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587995771410,34153,Get Available Currencies,200,OK,Currency Converter API 1-1973,text,true,,2471,220,755,755,https://currency-converter5.p.rapidapi.com/currency/list,34153,0,33836
1587995805402,161,Get Historical Currency Rate,200,OK,Currency Converter API 1-1195,text,true,,7055,247,755,755,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,161,0,0
1587995804801,764,Get Currency Rate,200,OK,Currency Converter API 1-793,text,true,,7674,235,754,754,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,764,0,594
1587995804885,682,Get Currency Rate,200,OK,Currency Converter API 1-1995,text,true,,7674,235,754,754,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,682,0,529
1587995805394,173,Get Historical Currency Rate,200,OK,Currency Converter API 1-995,text,true,,7055,247,754,754,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,173,0,0
1587995803444,2131,Get Currency Rate,200,OK,Currency Converter API 1-1985,text,true,,7674,235,753,753,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,2131,0,1801
1587995804884,691,Get Historical Currency Rate,200,OK,Currency Converter API 1-1580,text,true,,7055,247,753,753,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,691,0,539
1587995804912,667,Get Currency Rate,200,OK,Currency Converter API 1-1716,text,true,,7674,235,752,752,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,667,0,514
1587995805425,155,Get Historical Currency Rate,200,OK,Currency Converter API 1-1308,text,true,,7055,247,752,752,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,155,0,0
1587995804927,654,Get Currency Rate,200,OK,Currency Converter API 1-1556,text,true,,7674,235,752,752,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,654,0,505
1587995804232,1353,Get Currency Rate,200,OK,Currency Converter API 1-1341,text,true,,7674,235,751,751,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1353,0,1164
